source_ticker,target_ticker,target_name,category,supply_chain_stage,connection_type,relationship,importance,risk_note
000660.KS,005930.KS,Samsung Electronics,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Samsung Electronics ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AAOI,Applied Optoelectronics,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Applied Optoelectronics ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ACLS,Axcelis,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Axcelis ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ADI,Analog Devices,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Analog Devices ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AEHR,Aehr Test Systems,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Aehr Test Systems ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ALAB,"Astera Labs, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Astera Labs, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ALGM,"Allegro MicroSystems, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Allegro MicroSystems, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AMAT,Applied Materials,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Applied Materials ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AMBA,"Ambarella, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Ambarella, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AMD,AMD,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,AMD ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AMKR,Amkor Technology,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Amkor Technology ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
